id,question,answer,alt
39,双方の主張には依然大きな【隔】たりがある。,へだ,
40,輸入品を【排斥】する運動が起こっている。,はいせき,
41,わずかな【痕跡】を手がかりに調査を進める。,こんせき,
42,他人の迷惑を【顧】みる余裕をもって生活する。,かえり,
43,折からの強風で掲揚台の校旗が【翻】っている。,ひるがえ,
44,権力を握る人々が背後から大衆を【操】る。,あやつ,
45,祖母は運命に【翻弄】され続けて一生を終えた。,ほんろう,
46,法律を【遵守】する精神を養わねばならない。,じゅんしゅ,
47,どれほど【傲慢】な主張であるかの自覚がない。,ごうまん,
48,条件の【些細】な違いによって実験結果が異なる。,ささい,
49,全体の雰囲気が個人への圧力を【醸】し出す。,かも,
50,労働の【範疇】は社会によって異なっている。,はんちゅう,
51,人生の目的が幸福を追求することに【収斂】される。,しゅうれん,
52,大衆の【嗜好】に合わせて作品を制作する。,しこう,
53,他人には自分の【窺】い知れぬ心の領分がある。,うかが,
54,【誤謬】を犯さぬように慎重に物事を進める。,ごびゅう,
55,幼い日の記憶がふと【甦】ることがあった。,よみがえ,
56,自己と他者との【軋轢】は不可避なものである。,あつれき,
57,僕らは当時無気力で【怠惰】な生活を送っていた。,たいだ,
58,細部に【拘泥】せず大局に立って物事を考える。,こうでい,
59,日本人は和洋【折衷】の生活様式で暮らしている。,せっちゅう,
60,失敗の原因を【曖昧】なままにしては向上しない。,あいまい,
61,主人公の心理的【葛藤】が見事に描かれている。,かっとう,
62,人権と自由の思想を【遮】るものは何もない。,さえぎ,
63,額の汗が彼の緊張感を【如実】に物語っている。,にょじつ,
64,【氾濫】する情報の海におぼれないようにする。,はんらん,
65,社会全体の秩序が【瓦解】寸前の危機にある。,がかい,
66,【市井】の片隅で居候として日々を過ごしている。,しせい,
67,全員の意識の中に公共性の【萌芽】が見られる。,ほうが,
68,昨日遭遇した【希有】な出来事を語って聞かせた。,けう,
69,都合の悪い事実は意図的に【隠蔽】されてきた。,いんぺい,
70,恋はありふれた人間を詩人に【変貌】させる。,へんぼう,
71,世情に【疎】い未熟者として軽くあしらわれる。,うと,
72,【真摯】な態度で与えられた課題に取り組む。,しんし,
73,冷戦が【終焉】を迎え世界の構造が変化した。,しゅうえん,
74,適応できないものは否応なく【淘汰】される。,とうた,
75,迷惑を顧みない自分勝手な人には【憤】りを覚える。,いきどお,
76,【常套】的なやり方が必ずしも悪いとは限らない。,じょうとう,
77,近代の西洋文明が広く世界に【伝播】している。,でんぱ,
78,科学は【無垢】なる知恵のもとに進化してきた。,むく,
79,都会に出てくる前の二人は人も【羨】む仲だった。,うらや,
80,【横溢】する若い力に圧倒されて引き下がった。,おういつ,
81,彼の風景画には【静謐】さと透明感がある。,せいひつ,
82,伝統文化と【対峙】する前衛的な芸術を生み出す。,たいじ,
83,合格の知らせを聞いて【安堵】の胸をなでおろした。,あんど,
84,無邪気な好奇心というものは【稀】である。,まれ,
85,冷たい【時雨】に濡れて体が冷えてしまった。,しぐれ,
86,日々生産される【夥】しい量の商品を出荷する。,おびただ,
87,外国への投資はかなりの危険を【孕】んでいる。,はら,
88,大空に【屹立】する富士山を遠くから仰ぎ見る。,きつりつ,
89,過度な私欲の追求が社会の【均衡】を破壊する。,きんこう,
90,恋を【成就】させるためにあらゆる手段を講じる。,じょうじゅ,
91,名作には時代を大きく越える【不朽】性がある。,ふきゅう,
92,【閉塞】感が指摘されている今日の日本社会。,へいそく,
93,交通システムが【滞】りなく作動している。,とどこお,
94,三半規管の【疾病】にかかって長期間入院した。,しっぺい,
95,作家の日常生活における【挿話】を読んで楽しむ。,そうわ,
96,矛盾したイメージが頭の中で【錯綜】する。,さくそう,
97,大陸横断鉄道の【敷設】という大事業を成し遂げる。,ふせつ,
98,成果を出しても報われないと不満が【募】る。,つの,
99,溶かした金属を【鋳型】に流し込んで作品を作る。,いがた,
100,頭から叱りつけずに親身になって【諭】す。,さと,
101,社会の【趨勢】を押しとどめることはできない。,すうせい,
102,外来語が日本語の【語彙】に流入してくる。,ごい,
103,朝日に照らされた木の葉から朝露が【滴】り落ちる。,したた,
104,心の【和】む光景を目の当たりにして微笑む。,なご,
105,会を運営する費用は全て寄付で【賄】われている。,まかな,
106,毎週日曜日に教会で【敬虔】な祈りを捧げる。,けいけん,
107,どんなに【饒舌】でも孤独を隠すことはできない。,じょうぜつ,
108,幼児は親の心を読み取る能力に【長】けている。,た,
109,考えても考えなくても同じと【揶揄】される。,やゆ,
110,たった一人で最後まで合併に【抗】い続けた。,あらが,
111,恩師の言葉を何度も胸の中で【反芻】する。,はんすう,
112,低い点数の答案を前に【呆然】と立ち尽くす。,ぼうぜん,
113,不遇の賢者に対し尊敬と【憐憫】の情を持った。,れんびん,
114,【殺戮】兵器の製造に断固として反対する。,さつりく,
115,何とも言えない【寂寥】感が忍び寄ってくる。,せきりょう,
116,方言の言葉の響きに心が強く【惹】かれた。,ひ,
117,【刹那】の快楽を追い求めるのは虚しいと知る。,せつな,
118,矛盾する思想が【渾然】として存在している。,こんぜん,
119,新製品の【熾烈】な販売競争が繰り広げられた。,しれつ,
120,古い考えにとらわれず自由【闊達】に振る舞う。,かったつ,
121,一言も言わずに黙って【頷】くばかりであった。,うなず,
122,壮大な自然の力に対する【畏敬】の念が強い。,いけい,
123,汚職が明らかになり政府高官が【更迭】された。,こうてつ,
124,大臣の不正を【弾劾】すべく立ち上がった。,だんがい,
125,脳には言語【中枢】をつかさどる部分がある。,ちゅうすう,
126,平安朝の貴族は深く仏道に【帰依】していた。,きえ,
127,【浅薄】な知識しか持ち合わせていなかった。,せんぱく,
128,場の空気に応じて表面的に態度を取り【繕】う。,つくろ,
129,清朝と帝政ロシアが【漸次】遊牧民を征服した。,ぜんじ,
130,台風が日本列島に【甚】だしい被害をもたらした。,はなは,
131,台風の日には傘など【所詮】役に立たない。,しょせん,
132,少し休憩してから夕食の【支度】に取りかかる。,したく,
133,舞台の主役に選ばれて【羨望】の的となった。,せんぼう,
134,化粧水によって乾燥した肌に【潤】いが与えられる。,うるお,
135,人間の世界は【滑稽】で楽しくて愚かしい。,こっけい,
136,過去には軍国主義が【鼓吹】された時代があった。,こすい,
137,近代の社会システムは効率化を【旨】とする。,むね,
138,都市緑化の必要性が【声高】に叫ばれている。,こわだか,
139,成功のそばに思わぬ【陥穽】が待ち受けている。,かんせい,
140,何代にもわたって保持してきた特権を【域奪】する。,はくだつ,
141,疲労のあまり頭が【朦朧】とした状態になった。,もうろう,
142,ポケットからハンカチを出して汗を【拭】う。,ぬぐ,
143,権威に対する否定的な感情が【蔓延】している。,まんえん,
144,敵対者からは悪の【権化】のように言われる。,ごんげ,
145,飢饉により【未曽有】の食糧危機が人類を襲った。,みぞう,
146,丈夫なロープで故障した車を【牽引】する。,けんいん,
147,【侵】すべからざる権威が厳然として存在する。,おか,
148,山頂に立って眼下の家並みを【俯瞰】する。,ふかん,
149,問題を故意に【矮小】化して捉えようとする。,わいしょう,
150,やりきれない【虚】しさをふと感じる瞬間がある。,むな,
151,今年の夏の暑さは弱った体に【殊】にこたえる。,こと,
152,【掌】の上で転がすように事は簡単に運ばない。,たなごころ,てのひら
153,つまらない【代物】に芸術の名を与えてはならない。,しろもの,
154,人間関係をつなぐ精神的【紐帯】を重視する。,ちゅうたい,
155,悲しみのあまり顔を【歪】めて泣き崩れた。,ゆが,
156,趣味のために時間を【割】くのは苦にならない。,さ,
157,【辛辣】な言葉を投げかけるのが彼のやり方だ。,しんらつ,
158,関心は【専】ら日常生活の領域に絞られている。,もっぱ,
159,家にまつわるすべてのことが【厭】わしく思えた。,いと,
160,誇り高き民族が【頑】なに援助を拒んでいる。,かたく,
161,あらゆる情報を【血眼】になって収集する。,ちまなこ,
162,【倦】まずたゆまず努力してついに成功した。,う,
163,私たちは【固唾】を呑んで観察をし続けた。,かたず,
164,不用意な一言がクラス全員のやる気を【削】いだ。,そ,
165,封建社会の【残滓】が今でも見られるようだ。,ざんし,
166,カーテンが破れているのは猫の【仕業】に違いない。,しわざ,
167,社員の競争心を【煽】って成果を出させる。,あお,
168,見事に【彫琢】された表現で評論を完成させた。,ちょうたく,
169,【馴染】みの客が何人もいて店は繁盛している。,なじ,
170,性質は慎重と言うよりも【寧】ろ臆病である。,むし,
171,散歩がてら古本屋を何軒か【覗】いていった。,のぞ,
172,最近身の程を【弁】えないやからが多くて困る。,わきま,
173,五穀【豊穣】を願って神々に祈りを捧げる。,ほうじょう,
174,弟子の実力がはるかに師を【凌】ぐときがきた。,しの,
175,放心状態で庭のすみにじっと【佇】んでいる。,たたず,
176,【厖大】な記録が未整理のまま残されている。,ぼうだい,
177,わざと人を【貶】めるような言い方をする。,おとし,
178,戦地へ赴かずに【踵】を返してそのまま逃亡した。,きびす,
179,国道を走る車の音が睡眠の【妨】げになった。,さまた,
180,内容の【真偽】や社会にとっての重要性が問われる。,しんぎ,
181,先祖を【供養】することは子孫の大事な務めだ。,くよう,
182,彼の冷たい発言を聞いて【嫌悪】感を持った。,けんお,
183,基礎医学を活用して【臨床】医学の体系化を図る。,りんしょう,
184,【若干】の不満はあるもののおおむね満足だ。,じゃっかん,
185,神社や寺の【境内】は子どものよい遊び場だ。,けいだい,
186,今回の処置は【暫定】的に決められたものである。,ざんてい,
187,近代化の【呪縛】から逃れるのは至難の業だ。,じゅばく,
188,【漆黒】の闇に人の姿が吸い込まれていった。,しっこく,
189,【汎用】性の高いシステムの開発に成功した。,はんよう,
190,同じ性能の品物なら【廉価】なほうを購入したい。,れんか,
191,【煩】わしい手続きを簡略化することを考える。,わずら,
192,本人に説明を求めるのは【野暮】というものだ。,やぼ,
193,このところ物入りで【懐】が寂しくなった。,ふところ,
194,芝居を見終わって観客一同拍手【喝采】した。,かっさい,
195,人間は常に自己内省を【怠】ってはならない。,おこた,
196,物静かで落ち着いた【風情】の青年に成長した。,ふぜい,
197,短い生涯のうちに【珠玉】の作品を書いた。,しゅぎょく,
198,貴族たちの折り目正しい【挙措】を手本とする。,きょそ,
199,選挙戦に勝利するために【盤石】の体制を整える。,ばんじゃく,
200,屋根を【普請】するために多くの人手が必要である。,ふしん,
201,【緩】い上り坂で車が立ち往生してしまった。,ゆる,
202,【惨】めな敗者の姿を人前にさらすのはつらい。,みじ,
203,事件は次第に陰惨な【相貌】を呈してきた。,そうぼう,
204,ようやく日々の生活の【安寧】を取り戻した。,あんねい,
205,最初に必要な費用を【大雑把】に計算してみる。,おおざっぱ,
206,反政府勢力の【牙城】を包囲して攻撃する。,がじょう,
207,母語の異なる民族の雑居に関する論考を【著】した。,あらわ,
208,伝統を【偏重】せず新しいものも取り入れる。,へんちょう,
209,どこにでもある【無粋】な鉄骨橋がかけられた。,ぶすい,
210,反逆者を厳しく取り調べて国外に【放逐】する。,ほうちく,
211,受験勉強の【間隙】を縫って趣味の手品を楽しむ。,かんげき,
212,私たちの【思惑】とは関係なく事態が進展する。,おもわく,
213,祖母はいつも私をやさしく【慈】しんでくれた。,いつく,
214,時代が変化する【兆】しを敏感に感じ取る。,きざ,
215,若くして死んだ妻を【悼】む挽歌をつくる。,いた,
216,仕事帰りによく【寄席】に立ち寄ったものだ。,よせ,
217,前衛芸術は人により【好悪】がはっきりと分かれる。,こうお,
218,病気が【重篤】な状態になってから入院した。,じゅうとく,
219,何度失敗しても【懲】りずにまたやってみる。,こ,
220,【荘重】な静けさがあたりを支配している。,そうちょう,
221,商店や小さな町工場の多い【界隈】に育った。,かいわい,
222,一部の者が大衆を【扇動】して暴動を起こす。,せんどう,
223,先方の気遣いに対し【衷心】より感謝する。,ちゅうしん,
224,獲物の毛皮を【域】いで市場で売りさばく。,は,
225,【為替】相場が急激に変動して企業が打撃を受ける。,かわせ,
226,相手の意向を【汲】んで納得できる案を示す。,く,
227,【襟】もとに髪の毛が入ってとてもくすぐったい。,えり,
228,晩年になって過ぎ去った青春の日々を【愛惜】する。,あいせき,
229,【隙間】風が入り込んできて足元がひんやりする。,すきま,
230,今度の台風の勢力範囲は【桁】外れに大きい。,けた,
231,出来上がりを想像しながら服の【生地】を見る。,きじ,
232,全知全能の神がこの世界を【統】べている。,す,
233,師匠の人柄を【慕】って全国から人が集まる。,した,
234,たなびく雲を【暁】の光が鮮やかに染める。,あかつき,
235,芸の【極意】を後進に伝えるのは容易ではない。,ごくい,
236,人格の【陶冶】こそが古武道の目指すところである。,とうや,
237,目新しい機能を搭載した商品が市場を【席巻】する。,せっけん,
238,新保守主義は戦後社会の総決算を【標榜】する。,ひょうぼう,
239,大事故に巻き込まれて【瀕死】の重傷を負った。,ひんし,
240,【胸襟】を開いてよく話し合うことが必要だ。,きょうきん,
241,敵を見つけたら【甲高】い声を出して知らせる。,かんだか,
242,和歌には雪を花に喩えたものが【際立】って多い。,きわだ,
243,まるで【呪文】のように同じ言葉を繰り返す。,じゅもん,
244,銃に弾丸を【充易】して的に焦点をあわせる。,じゅうてん,
245,作業の【進捗】状況を毎日入念に点検する。,しんちょく,
246,周到に準備された計画に僅かな【綻】びが生じた。,ほころ,
247,夕暮れの図書館でひとり物思いに【耽】っている。,ふけ,
248,共通の趣味をもった人同士の会話が【弾】む。,はず,
249,割烹料理店の入り口に【暖簾】がかかっている。,のれん,
250,人類の破壊行為により自然は死に【瀕】している。,ひん,
251,身勝手に振る舞って同僚から【蔑】まれる。,さげす,
252,好機を目前に【逡巡】しているひまはない。,しゅんじゅん,
253,【苛立】ちを家人にぶつけてもどうにもならない。,いらだ,
254,厚手の【外套】を着ていても寒さが身にしみる。,がいとう,
255,【額縁】に入れると立派な絵に見えてくる。,がくぶち,
256,都会という【雑駁】な場所に若者は消えていった。,ざっぱく,
257,軍事基地の存在が様々な問題を【惹起】する。,じゃっき,
258,子どもは現実と非現実の世界を【峻別】しない。,しゅんべつ,
259,ちょっとしたいさかいが【凄惨】な事件に発展した。,せいさん,
260,家屋が【脆弱】な地盤の上に建てられている。,ぜいじゃく,
261,欲望は満足とともに【逓減】していくのが普通だ。,ていげん,
262,【内裏】には紫宸殿や清涼殿などの建物がある。,だいり,
263,あと三人【乃至】五人の人手が必要である。,ないし,
264,【畢竟】人は孤独のうちに死んでいくものである。,ひっきょう,
265,裏切ると後で良心の【呵責】に苦しむことになる。,かしゃく,
266,食物の【咀嚼】が不十分だと吸収されにくい。,そしゃく,
267,春のよき日に妻と二人で桜を【愛】でて過ごした。,め,
268,私は考えを巡らしてある真実に【逢着】した。,ほうちゃく,
269,祖先は巡り来る四季の営みに【畏】れの念を抱いた。,おそ,
270,公家の成人男子は【烏帽子】を頭にのせていた。,えぼし,
271,不安に【苛】まれて居ても立ってもいられない。,さいな,
272,がけ崩れのために【迂回】しなければならなかった。,うかい,
273,天候が【俄】に急変して大きな雨粒が落ちてきた。,にわか,
274,若者の勇気ある行動を見て【快哉】を叫ぶ。,かいさい,
275,古新聞や古雑誌をまとめてひもで【括】る。,くく,
276,力無く【虚】ろなまなざしを遠くに向けている。,うつ,
277,自然は人間が予想するよりはるかに【強靱】である。,きょうじん,
278,隠されていた真実を知って私は【驚愕】した。,きょうがく,
279,記念碑に刻み込んで先人の功績を世に【顕】す。,あらわ,
280,【巷】では真実味のないうわさが広がっている。,ちまた,
281,ある悲痛な感情が【忽然】と現れてはまた消えた。,こつぜん,こつねん
282,古いコインには【骨董】品としての価値がある。,こっとう,
283,はるばる遠くから来た客を【懇】ろにもてなす。,ねんご,
284,キャンプでご飯をたくためにマッチを【擦】る。,す,
285,人間の記憶は【悉】く言葉に頼らざるを得ない。,ことごと,
286,切手や絵はがきなどを【蒐集】するのが趣味だ。,しゅうしゅう,
287,彼女が人から信頼される【所以】は誠実さにある。,ゆえん,
288,曇った窓【硝子】ごしに外の景色を眺める。,がらす,
289,雪の結晶を【象】ったブローチを身につける。,かたど,
290,先祖は太陽や月を神聖なものとして【崇】めていた。,あが,
291,蚊が入らないよう蚊帳の【裾】をめくって中に入る。,すそ,
292,戦争を【是】とする立場には絶対に立ちたくない。,ぜ,
293,谷川の【清冽】な水の中を魚が泳ぎ回っている。,せいれつ,
294,もうすぐ初日だというのに【台詞】が覚えられない。,せりふ,
295,毎号雑誌が届くのを待ちかねて【耽読】した。,たんどく,
296,時代の変化に対応できずに大企業が【凋落】した。,ちょうらく,
297,戦乱の世を【鎮】めて全国を統一する野望を持つ。,しず,
298,流麗な文字で【綴】られた母の昔の日記を読む。,つづ,
299,理に【適】った方法を採用すると事が動きやすい。,かな,
300,社内の風通しが悪く空気が【澱】んでいる。,よど,
301,無為無策のまま【徒】に歳月が流れるばかりである。,いたずら,
302,外国からの観光客で町は【賑】わっている。,にぎ,
303,公衆の面前で二人の男が【罵】り合っていた。,ののし,
304,【彼方】には小さな丘がありさらに海もある。,かなた,
305,耳を澄ますと【微】かに虫の羽音が聞こえる。,かす,
306,平家の【末裔】が住むという村が山中に点在する。,まつえい,
307,毎朝駅で出会う異性に【密】かに好意を寄せる。,ひそ,
308,論理は【明晰】であることが第一の要件である。,めいせき,
309,災害に備えて【予】め非常食を用意しておく。,あらかじ,
310,どちらの意見にも【与】するつもりはない。,くみ,
311,【律儀】な小心者が裏切るとは誰も思うまい。,りちぎ,
312,外資系企業の社員は【流暢】に英語を話す。,りゅうちょう,
313,思いがけない事態に遭遇して【狼狽】した。,ろうばい,
314,一人暮らしの【侘】しい住まいを友人が訪ねてきた。,わび,
315,警察犬の【嗅覚】は捜査に非常に役立っている。,きゅうかく,
316,あたりを【憚】ることなく大声で泣きたい気分だ。,はばか,
317,何かに取り【憑】かれたようなおかしな行動だ。,つ,
318,旧石器【捏造】事件が大々的に報道された。,ねつぞう,
319,相手の気持ちを【斟酌】するゆとりがなかった。,しんしゃく,
320,因襲の【桎梏】から解放される日を心待ちにする。,しっこく,
321,生き方がその人の振る舞いに【滲】んでいる。,にじ,
322,誤りは根本から【糺】さなければならない。,ただ,
323,明治時代の青年は【貪欲】に新しい知識を吸収した。,どんよく,
324,建て付けの悪い扉が開閉するたびに【軋】む。,きし,
325,小さな子どもたちの行儀の悪さに【辟易】した。,へきえき,
326,山間の【隘路】を通り抜けるのに四苦八苦した。,あいろ,
327,文芸作品には作者の思いが【籠】められている。,こ,
328,私の心は不安という【情緒】で染め上げられている。,じょうちょ,じょうしょ
329,放置された畑には雑草が【繁茂】している。,はんも,
330,【戦慄】すべき凶悪な事件を題材にした推理小説。,せんりつ,
331,対戦相手を【完膚】なきまでに打ちのめす。,かんぷ,
332,事件の経過を【逐一】報告するよう指示する。,ちくいち,ちくいつ
333,政治的対立によるテロが【頻発】している。,ひんぱつ,
334,卑怯な行為をしたものは【侮蔑】の対象となる。,ぶべつ,
335,降りかかる苦難を【超克】して人生を切り開く。,ちょうこく,
336,一日の始まりに朝の【挨拶】は欠かさない。,あいさつ,
337,伝統的な生活空間の【面影】が一掃された。,おもかげ,
338,【格子】戸をくぐり抜けて家の外へ出ていく。,こうし,
339,地球上には多種多様な生物が【棲息】している。,せいそく,
340,過ちは【潔】く認めて今後の糧にするのが得策だ。,いさぎよ,
341,試合では【執拗】に相手の弱点をつくのが有効だ。,しつよう,
342,絵画の基礎となる【素描】の訓練を重ねる。,そびょう,
343,振り返ってみると後悔と【諦】めの多い人生だった。,あきら,
344,よい師に巡り会えた喜びが【湧】いてくる。,わ,
345,【殺伐】とした風景が眼前に広がっている。,さつばつ,
346,人生の【悲哀】をかみしめることになった。,ひあい,
347,老人の尊厳が【冒】されているという事態がある。,おか,
348,詩は内容とともに【韻律】も重要な要素である。,いんりつ,
349,【彼我】の圧倒的な実力の違いを思い知らされた。,ひが,
350,どの対戦相手も【侮】りがたい実力を備えている。,あなど,
351,他国の文化に対する【蔑視】は決して許せない。,べっし,
352,現在の日本の政界は【惨憺】たるありさまである。,さんたん,
353,先方には【丁重】な断りの返事をするつもりだ。,ていちょう,
354,【詭弁】を弄する人には気をつけたほうがよい。,きべん,
355,辞書の【凡例】は分かりやすく作られている。,はんれい,
356,戦争のない天下太平の世の中で【安逸】を貪る。,あんいつ,
357,名誉を傷つけられて【慰藉】料を請求する。,いしゃ,
358,今さら悔やんでみても【最早】手遅れである。,もはや,
359,【梢】から漏れる光が明暗の斑点を描き出す。,こずえ,
360,【鷹揚】に構えて細かいことにはこだわらない。,おうよう,
361,夜も眠れないほど【煩悶】する日が続いた。,はんもん,
362,投資の勧誘や寄付の要請を【婉曲】に断る。,えんきょく,
363,悪霊が【憑依】して奇妙な行動を繰り返す。,ひょうい,
364,少女は【含羞】に満ちた表情で見つめている。,がんしゅう,
365,事が【公】になると多くの人が迷惑を被る。,おおやけ,
366,古今集の歌はすこぶる人口に【膾炙】している。,かいしゃ,
367,人間の都合を優先して生態系を【蹂躙】する。,じゅうりん,
368,自治会長の仕事を【躊躇】なく引き受けた。,ちゅうちょ,
369,今さら首相の資質を【云々】してもはじまらない。,うんぬん,
370,【嬰児】の柔らかい肌を傷つけないように注意する。,えいじ,
371,一度損なった健康を運動と節制で【恢復】した。,かいふく,
372,町のありさまは見るに【堪】えないものであった。,た,
373,潮の香りを運ぶ風が【干潟】をわたって吹く。,ひがた,
374,仏とは縁遠い迷いの【此岸】で生きている。,しがん,
375,手に入る情報はどれもこれも【信憑】性に欠ける。,しんぴょう,
376,人前で話すと緊張して【声音】が変わってしまう。,こわね,
377,彼女の騒ぎようはいかにも【大袈裟】である。,おおげさ,
378,大工の【棟梁】が本殿の解体修理を取り仕切る。,とうりょう,
379,理想と現実の【背馳】があまりにも大きい。,はいち,
380,穏和な人が急に粗暴な人格に【豹変】した。,ひょうへん,
381,事業の失敗による損失を【補易】せねばならない。,ほてん,
382,名器に劣らず【妙】なる音を奏でる楽器がある。,たえ,
383,駅前の古い商店街は昔の【名残】をとどめている。,なごり,
384,どんな賞でも賞を【貰】うのはうれしいものだ。,もら,
385,チーム間の優劣が次第に【露】わになってきた。,あら,
386,高名な評論家の【傲岸】な態度に腹が立つ。,ごうがん,
387,彼女は「さよなら」と【呟】いて去って行った。,つぶや,
388,人間の体の働きを機械に【喩】えて説明する。,たと,
389,目頭を押さえて【嗚咽】する姿をじっと見守る。,おえつ,
390,【嗚呼】いつになったら平和な時が来るのだろうか。,ああ,
391,【夭折】した天才画家の遺作展が開催される。,ようせつ,
392,世の中には打算と【奸計】が渦巻いている。,かんけい,
393,口に出しては言わないが不満が心中に【鬱積】する。,うっせき,
394,批評家の【炯眼】によって作品が発掘された。,けいがん,
395,私は組織から裏切り者の【烙印】を押された。,らくいん,
396,江戸時代の江戸では町人の文化が【爛熟】した。,らんじゅく,
397,天下を【睥睨】するかのように天守閣がそびえ立つ。,へいげい,
398,子どもにきちんとした【躾】をするのが親の役目だ。,しつけ,
399,過ぎ去った昔のことが【髣髴】として脳裏に浮かぶ。,ほうふつ,
400,【一衣帯水】,いちいたいすい,
401,【犬馬之労】,けんばのろう,
402,【羊頭狗肉】,ようとうくにく,
403,【鶏鳴狗盗】,けいめいくとう,
404,【切磋琢磨】,せっさたくま,
405,【他山之石】,たざんのいし,
406,【一意専心】,いちいせんしん,
407,【粒々辛苦】,りゅうりゅうしんく,
408,【傍若無人】,ぼうじゃくぶじん,
409,【行雲流水】,こううんりゅうすい,
410,【以心伝心】,いしんでんしん,
411,【文質彬彬】,ぶんしつひんぴん,
412,【温故知新】,おんこちしん,
413,【一石二鳥】,いっせきにちょう,
414,【二律背反】,にりつはいはん,
415,【朝三暮四】,ちょうさんぼし,
416,【朝令暮改】,ちょうれいぼかい,
417,【南船北馬】,なんせんほくば,
418,【呉越同舟】,ごえつどうしゅう,
419,【臥薪嘗胆】,がしんしょうたん,
420,【西施之顰】,せいしのひそみ,
421,【明眸皓歯】,めいぼうこうし,
422,【四面楚歌】,しめんそか,
423,【巻土重来】,けんどちょうらい,
424,【乾坤一擲】,けんこんいってき,
425,【先憂後楽】,せんゆうこうらく,
426,【付和雷同】,ふわらいどう,
427,【大器晩成】,たいきばんせい,
428,【晴耕雨読】,せいこううどく,
429,【巧言令色】,こうげんれいしょく,
430,【君子豹変】,くんしひょうへん,
431,【三位一体】,さんみいったい,
432,【青天霹靂】,せいてんのへきれき,
433,【前人未踏】,ぜんじんみとう,
434,【漁夫之利】,ぎょふのり,
435,【比翼連理】,ひよくれんり,
436,【天真爛漫】,てんしんらんまん,
437,【玉石混交】,ぎょくせきこんこう,
438,【千載一遇】,せんざいいちぐう,
439,【画龍点睛】,がりょうてんせい,
440,【天衣無縫】,てんいむほう,
441,【泰山北斗】,たいざんほくと,
442,【柳暗花明】,りゅうあんかめい,
443,【山紫水明】,さんしすいめい,
444,【率先垂範】,そっせんすいはん,
445,【清廉潔白】,せいれんけっぱく,
446,【三寒四温】,さんかんしおん,
447,【四海兄弟】,しかいけいてい,
448,【立身出世】,りっしんしゅっせ,
449,【青雲之志】,せいうんのこころざし,
450,【鶏口牛後】,けいこうぎゅうご,
451,【自画自賛】,じがじさん,
452,【我田引水】,がでんいんすい,
453,【浅学非才】,せんがくひさい,
454,【和光同塵】,わこうどうじん,
455,【塞翁之馬】,さいおうがのうま,
456,【当意即妙】,とういそくみょう,
457,【臨機応変】,りんきおうへん,
458,【夜郎自大】,やろうじだい,
459,【酒池肉林】,しゅちにくりん,
460,【荒唐無稽】,こうとうむけい,
461,【五里霧中】,ごりむちゅう,
462,【自暴自棄】,じぼうじき,
463,【国士無双】,こくしむそう,
464,【悪戦苦闘】,あくせんくとう,
465,【暗中模索】,あんちゅうもさく,
466,【意気消沈】,いきしょうちん,
467,【意気揚々】,いきようよう,
468,【異口同音】,いくどうおん,
